gameid,winning_team_champions,losing_team_champions
10070-10070_game_3,"[82, 18, 3, 112, 90]","[58, 7, 77, 60, 51]"
10071-10071_game_1,"[17, 13, 81, 75, 51]","[110, 92, 99, 9, 41]"
10071-10071_game_2,"[49, 87, 36, 15, 161]","[82, 7, 77, 75, 114]"
10072-10072_game_1,"[12, 73, 53, 95, 100]","[1, 13, 59, 75, 90]"
10072-10072_game_2,"[12, 23, 29, 15, 161]","[110, 72, 158, 75, 31]"
10072-10072_game_3,"[22, 132, 133, 37, 51]","[17, 91, 14, 9, 41]"
10073-10073_game_1,"[1, 87, 77, 95, 51]","[12, 7, 53, 75, 100]"
10073-10073_game_2,"[1, 91, 8, 37, 90]","[12, 23, 29, 9, 41]"
10073-10073_game_3,"[32, 73, 29, 20, 38]","[47, 13, 8, 75, 90]"
10074-10074_game_1,"[43, 23, 53, 9, 61]","[1, 3, 51, 95, 31]"
10074-10074_game_2,"[49, 87, 8, 37, 51]","[148, 23, 29, 9, 90]"
10075-10075_game_1,"[32, 23, 53, 37, 41]","[1, 3, 12, 9, 51]"
10075-10075_game_2,"[47, 13, 51, 75, 114]","[22, 73, 155, 95, 41]"
10076-10076_game_1,"[49, 7, 77, 37, 41]","[48, 13, 53, 112, 51]"
10076-10076_game_2,"[32, 7, 8, 75, 31]","[125, 91, 12, 95, 54]"
10076-10076_game_3,"[78, 23, 155, 9, 51]","[12, 92, 99, 37, 41]"
10078-10078_game_1,"[12, 72, 99, 95, 161]","[78, 23, 53, 15, 16]"
10078-10078_game_2,"[49, 7, 12, 37, 25]","[47, 18, 53, 9, 90]"
10078-10078_game_3,"[88, 87, 8, 24, 38]","[120, 6, 29, 75, 61]"
10079-10079_game_1,"[17, 87, 59, 37, 90]","[47, 23, 53, 75, 25]"
10079-10079_game_2,"[49, 72, 44, 99, 90]","[82, 7, 51, 75, 114]"
10079-10079_game_3,"[1, 7, 8, 9, 161]","[47, 146, 155, 15, 16]"
10080-10080_game_1,"[49, 7, 77, 9, 51]","[78, 23, 53, 75, 38]"
10080-10080_game_2,"[1, 18, 155, 15, 161]","[48, 7, 36, 95, 51]"
10081-10081_game_1,"[110, 87, 83, 95, 38]","[49, 7, 77, 9, 51]"
10081-10081_game_2,"[32, 87, 53, 75, 117]","[12, 23, 36, 9, 61]"
10081-10081_game_3,"[17, 18, 29, 37, 51]","[12, 73, 47, 60, 90]"
10082-10082_game_1,"[47, 18, 53, 75, 51]","[133, 7, 36, 15, 161]"
10082-10082_game_2,"[55, 92, 48, 15, 161]","[12, 23, 44, 9, 10]"
10083-10083_game_1,"[125, 18, 53, 75, 38]","[1, 85, 48, 37, 41]"
10083-10083_game_2,"[17, 13, 77, 37, 51]","[110, 23, 53, 95, 100]"
10084-10084_game_1,"[49, 73, 59, 75, 38]","[12, 87, 51, 9, 31]"
10084-10084_game_2,"[55, 7, 53, 95, 41]","[49, 13, 155, 75, 25]"
10085-10085_game_1,"[49, 23, 77, 75, 114]","[26, 7, 59, 15, 161]"
10085-10085_game_2,"[32, 73, 14, 75, 51]","[1, 87, 8, 95, 100]"
10085-10085_game_3,"[1, 56, 125, 4, 5]","[48, 85, 51, 37, 90]"
10086-10086_game_1,"[12, 132, 43, 75, 51]","[1, 23, 53, 37, 38]"
10086-10086_game_2,"[88, 13, 155, 37, 38]","[47, 7, 51, 75, 25]"
10087-10087_game_1,"[82, 23, 29, 75, 51]","[49, 18, 8, 9, 38]"
10087-10087_game_2,"[17, 18, 53, 37, 38]","[12, 92, 44, 75, 51]"
10088-10088_game_1,"[125, 87, 12, 9, 31]","[78, 13, 155, 37, 90]"
10088-10088_game_2,"[48, 146, 77, 9, 31]","[49, 7, 155, 15, 161]"
10088-10088_game_3,"[17, 23, 77, 37, 90]","[22, 91, 53, 95, 51]"
10090-10090_game_1,"[1, 23, 53, 30, 161]","[47, 18, 77, 75, 61]"
10090-10090_game_2,"[97, 132, 12, 9, 90]","[49, 18, 3, 37, 51]"
10090-10090_game_3,"[17, 13, 53, 60, 96]","[43, 87, 36, 95, 100]"
10091-10091_game_1,"[17, 13, 53, 37, 90]","[47, 87, 8, 95, 51]"
10091-10091_game_2,"[43, 85, 48, 9, 90]","[47, 92, 99, 95, 38]"
10091-10091_game_3,"[49, 146, 77, 75, 51]","[110, 23, 53, 37, 61]"
10092-10092_game_1,"[17, 92, 27, 95, 117]","[12, 85, 99, 75, 51]"
10092-10092_game_2,"[133, 85, 12, 75, 114]","[49, 7, 14, 95, 41]"
10093-10093_game_1,"[12, 72, 53, 75, 161]","[17, 23, 155, 15, 16]"
10093-10093_game_2,"[47, 13, 53, 75, 114]","[1, 23, 77, 9, 90]"
10093-10093_game_3,"[49, 7, 155, 95, 117]","[12, 68, 91, 9, 51]"
10094-10094_game_1,"[1, 23, 45, 95, 161]","[47, 87, 53, 75, 51]"
10094-10094_game_2,"[47, 72, 48, 75, 90]","[1, 23, 29, 37, 61]"
10095-10095_game_1,"[133, 7, 77, 15, 161]","[12, 23, 53, 95, 31]"
10095-10095_game_2,"[78, 18, 44, 37, 90]","[51, 109, 130, 95, 31]"
10095-10095_game_3,"[17, 91, 29, 20, 51]","[12, 87, 8, 75, 117]"
10096-10096_game_1,"[49, 18, 53, 9, 41]","[12, 7, 155, 95, 100]"
10096-10096_game_2,"[47, 3, 12, 37, 51]","[1, 23, 14, 9, 90]"
10097-10097_game_1,"[78, 87, 53, 37, 90]","[17, 18, 44, 15, 161]"
10097-10097_game_2,"[1, 7, 77, 75, 114]","[17, 13, 8, 9, 31]"
10097-10097_game_3,"[12, 23, 77, 75, 38]","[47, 146, 45, 95, 51]"
10100-10100_game_1,"[1, 23, 77, 75, 114]","[32, 72, 53, 95, 31]"
10100-10100_game_2,"[49, 13, 51, 4, 5]","[82, 7, 29, 75, 114]"
10101-10101_game_1,"[32, 23, 53, 95, 61]","[55, 72, 12, 75, 161]"
10101-10101_game_2,"[1, 13, 155, 60, 90]","[47, 23, 45, 95, 114]"
10102-10102_game_1,"[47, 13, 3, 15, 161]","[78, 23, 8, 9, 31]"
10102-10102_game_2,"[49, 23, 155, 37, 90]","[1, 7, 59, 95, 51]"
10103-10103_game_1,"[26, 18, 155, 15, 16]","[47, 146, 51, 57, 161]"
10103-10103_game_2,"[26, 72, 48, 95, 41]","[78, 23, 45, 75, 90]"
10103-10103_game_3,"[125, 13, 51, 95, 61]","[12, 87, 155, 75, 31]"
10104-10104_game_1,"[12, 23, 77, 37, 90]","[17, 13, 53, 75, 114]"
10104-10104_game_2,"[43, 72, 3, 95, 161]","[12, 6, 44, 15, 16]"
10105-10105_game_1,"[82, 23, 53, 95, 31]","[49, 18, 155, 75, 51]"
10105-10105_game_2,"[47, 7, 8, 9, 31]","[1, 18, 102, 15, 161]"
10105-10105_game_3,"[125, 91, 77, 95, 114]","[151, 72, 99, 75, 51]"
10106-10106_game_1,"[47, 92, 27, 75, 114]","[1, 87, 36, 95, 51]"
10106-10106_game_2,"[12, 13, 45, 75, 114]","[43, 7, 44, 95, 117]"
10106-10106_game_3,"[22, 85, 53, 9, 90]","[110, 109, 99, 37, 41]"
10107-10107_game_1,"[47, 13, 155, 75, 51]","[1, 23, 77, 95, 90]"
10107-10107_game_2,"[12, 91, 36, 9, 41]","[22, 87, 53, 37, 90]"
10107-10107_game_3,"[17, 13, 155, 60, 96]","[78, 6, 44, 95, 38]"
10108-10108_game_1,"[47, 72, 48, 95, 61]","[1, 23, 155, 75, 38]"
10108-10108_game_2,"[78, 7, 53, 37, 41]","[49, 23, 59, 9, 90]"
10108-10108_game_3,"[49, 87, 36, 9, 90]","[133, 91, 53, 20, 114]"
10110-10110_game_1,"[125, 91, 77, 37, 51]","[1, 72, 44, 9, 90]"
10110-10110_game_2,"[12, 73, 47, 95, 61]","[55, 87, 155, 75, 114]"
10111-10111_game_1,"[78, 18, 53, 9, 38]","[47, 23, 77, 37, 51]"
10111-10111_game_2,"[43, 85, 48, 30, 90]","[110, 87, 8, 75, 61]"
10111-10111_game_3,"[49, 13, 77, 15, 16]","[1, 18, 53, 95, 31]"
10149-10149_game_1,"[47, 7, 53, 75, 31]","[133, 23, 12, 57, 161]"
10149-10149_game_2,"[78, 18, 156, 95, 31]","[12, 7, 8, 75, 5]"
