team1_champ1,team1_champ2,team1_champ3,team1_champ4,team1_champ5,team2_champ1,team2_champ2,team2_champ3,team2_champ4,team2_champ5,result
26,135,102,83,164,34,73,38,53,121,1
74,30,76,53,66,34,55,116,14,43,1
163,73,35,53,164,34,153,145,48,91,1
26,73,38,83,40,6,153,145,137,85,1
13,103,101,75,66,56,55,49,53,164,1
61,153,145,75,66,26,86,163,137,140,0
34,73,39,71,43,6,135,102,48,164,0
74,86,17,53,160,163,70,145,79,43,0
34,55,145,93,43,26,73,35,53,15,0
163,55,3,83,164,152,148,102,71,121,1
163,55,145,14,43,26,30,76,75,66,0
34,73,97,53,164,6,30,76,83,121,1
74,153,49,14,10,26,103,102,53,66,0
163,30,89,14,43,69,86,83,53,66,1
34,153,145,93,43,26,73,76,75,15,1
163,135,102,53,164,67,55,97,14,85,0
34,30,76,159,129,6,70,102,53,66,0
56,58,49,75,10,163,86,83,14,15,1
6,70,49,75,66,163,7,101,48,43,1
13,103,102,162,121,163,73,97,83,15,1
74,55,102,79,164,67,153,17,113,66,1
6,55,102,53,66,74,35,56,93,85,1
67,103,49,53,66,163,153,158,75,15,1
152,135,145,83,43,36,55,102,14,84,1
34,55,102,14,15,26,73,3,53,44,0
67,109,102,71,164,163,148,145,23,85,1
163,55,102,14,10,67,30,76,75,43,0
6,58,145,71,37,34,35,89,75,43,1
6,58,145,48,85,163,7,5,137,140,1
13,19,20,75,66,34,30,76,14,15,1
163,55,101,79,120,74,86,49,53,85,0
56,58,145,53,43,34,135,102,83,164,1
26,73,157,14,121,6,148,97,75,66,1
163,70,38,14,121,6,103,3,54,15,1
26,55,5,14,85,69,58,102,23,15,1
26,30,76,159,164,67,73,20,75,121,1
56,77,38,71,43,36,70,163,53,51,1
152,30,76,23,85,163,73,83,137,15,0
34,55,102,75,121,6,86,17,53,15,1
34,161,38,75,66,26,73,97,14,43,1
163,103,101,83,121,6,55,97,48,164,1
74,153,102,83,85,34,30,128,53,15,1
152,103,101,14,10,163,58,49,9,85,1
74,30,83,79,120,28,73,76,53,66,0
34,153,145,93,43,6,55,102,53,15,1
26,135,49,75,66,163,55,60,14,85,1
6,77,83,137,120,56,47,103,71,10,1
74,55,102,75,85,34,153,145,14,15,0
6,105,83,137,43,26,73,97,53,15,0
6,153,145,14,43,152,73,163,75,85,1
34,73,38,14,85,36,103,128,75,66,0
13,19,20,14,10,138,55,102,137,120,0
26,77,83,23,43,6,30,76,53,37,1
34,73,102,93,15,26,55,17,53,37,1
34,148,101,75,66,6,153,145,53,43,0
34,55,17,53,37,163,7,102,79,44,1
6,19,76,137,85,67,70,3,48,164,1
13,30,83,79,43,26,148,145,14,15,1
34,73,97,162,85,163,30,76,53,164,1
152,73,83,14,85,163,55,17,48,43,1
26,77,83,75,66,12,19,145,93,43,0
36,7,163,48,15,152,55,89,14,85,1
34,19,20,75,66,12,73,76,53,160,1
34,73,145,83,164,26,55,97,53,66,0
34,73,83,75,43,26,153,102,14,10,1
74,55,102,14,15,163,153,145,83,85,1
